sex,height,shoe_size
woman,160,40
woman,171,39
woman,174,39
woman,176,40
woman,157,37
woman,160,38
woman,178,39
woman,168,38
woman,165,39
woman,163,38
woman,158,37
woman,159,38
woman,155,37
woman,172,39
woman,164,39
woman,158,35
woman,174,37
woman,164,37
woman,168,38
woman,168,38
woman,163,37
woman,160,37
woman,161,38
woman,162,36
woman,165,37
woman,164,36
woman,161,37
woman,163,39
woman,169,40
woman,171,39
woman,163,38
woman,159,36
woman,180,42
woman,168,38
woman,170,38
woman,168,38
woman,170,40
woman,172,39
woman,163,38
woman,168,38
woman,184,41
woman,169,38
woman,165,38
woman,171,40
woman,165,37
woman,168,38
woman,160,40
woman,160,36.5
woman,171,40
woman,167,39
woman,172,37
woman,163,38
woman,173,38
woman,176,40
woman,171.5,39
woman,168,36
woman,175,39
woman,165,36
woman,156,36
woman,168,38
woman,163,37
woman,163,38
woman,173,38
woman,169,39
woman,178,39
woman,170,38
woman,168,38
woman,170,39
woman,173,40
woman,171,40
woman,163,38
woman,166,38
woman,159,38
woman,178,41
woman,169,40
woman,158,37
woman,170,39
woman,183,39
woman,173,40
woman,160,37
woman,168,39
woman,166.4,37.5
woman,155,36
woman,178,36
woman,172.7,40
woman,162.6,36
woman,170.18,40
woman,168.5,40
woman,155,36
woman,167,35
woman,167,38
woman,153.2,34
woman,165,39
woman,174,38
woman,159,38
woman,167.6,39.5
woman,190.2,37.5
woman,160,36
woman,162.7,37.5
woman,173.9,38
woman,177.8,38
woman,173.99,38.5
woman,157,39
woman,167.64,39.5
woman,162.5,37.5
woman,167.2,40.5
